"year","month","actual.sales","Holt.sales","HoltWinters.sales"
2009,1,7.41746628178892,NA,NA
2009,2,7.78219431971372,NA,NA
2009,3,7.95180929991046,8.14692235763851,NA
2009,4,8.17393921066467,8.41803422755921,NA
2009,5,8.23030014093807,8.65467384540103,NA
2009,6,8.22006396816164,8.79109034774167,NA
2009,7,8.37784146489105,8.8332812590967,NA
2009,8,8.17929513880233,8.89882448648074,NA
2009,9,8.52154769678127,8.81204862329603,NA
2009,10,8.76771530589945,8.89066618593316,NA
2009,11,8.93598247052666,9.03334127446363,NA
2009,12,9.89122315128614,9.18138249472426,NA
2010,1,7.82397000796815,9.7112477134159,7.58708716868837
2010,2,8.55607538574002,9.0349149385549,8.42049791347383
2010,3,8.88532188995553,8.92824289538938,8.82003429067349
2010,4,8.47762665847418,9.0038032787842,8.46953341102237
2010,5,8.68285677131405,8.84508204494748,8.69101396618737
2010,6,8.5074135259989,8.83140144837049,8.50577095287322
2010,7,8.72893114549063,8.73098504830153,8.76317859405819
2010,8,8.46635242620086,8.76681748632136,8.53125424302148
2010,9,8.61185406956077,8.65935535628498,8.80549700487863
2010,10,8.67164668253439,8.65637241642322,8.95002231913462
2010,11,9.44145844212576,8.68083866432514,9.00165699417084
2010,12,10.2591221555078,9.06378402907075,10.1378532857424
2011,1,8.45893252325831,9.69807611473068,8.25695149279693
2011,2,8.64868275091755,9.23150174211912,9.01911637614393
2011,3,9.20608934916864,9.01016261464549,9.17003676902973
2011,4,8.57636357987714,9.12969964117781,8.77537231725957
2011,5,8.77839216180762,8.90075306055769,8.90211916403838
2011,6,8.79948073955071,8.8474783874507,8.67459368048367
2011,7,8.90240389019008,8.82300365885115,8.96282399848033
2011,8,9.00903414127095,8.85695630736475,8.70288698356022
2011,9,9.05639283818004,8.93024439095364,9.05832399432629
2011,10,9.1789013031408,8.99964219911149,9.23458432212797
2011,11,9.62587725570802,9.10161560628279,9.78107169751069
2011,12,10.4359086073296,9.37920193458503,10.4926378783718
2012,1,8.68627752142817,9.94173517236504,8.5834156285758
2012,2,8.66812383534513,9.45429568884398,8.98356575615299
2012,3,9.42716399454557,9.12143206969321,9.38519733307009
2012,4,8.75931864116395,9.26826554974353,8.86114440367256
2012,5,8.9371028068499,9.04140243291549,9.07028998956211
2012,6,8.88526791030584,8.98007481800968,8.9782879797752
2012,7,9.0022356681753,8.91743747698774,9.07250256900421
2012,8,8.98459970106459,8.93564487467363,9.0140829118759
2012,9,8.99876218328263,8.94142234104013,9.05797943874484
2012,10,9.04507650210367,8.95397552418702,9.18041008221485
2012,11,9.79337465104933,8.98595146446972,9.63815778362333
2012,12,10.3127590737202,9.36674445549341,10.5332775047176
2013,1,8.48190585239446,9.85943265230643,8.64584810955267
2013,2,8.77496693554935,9.29046554448804,8.70109209755562
2013,3,9.17354878610287,9.05765046817302,9.46412581954495
2013,4,9.08490979326442,9.09879806812245,8.72194776272444
2013,5,9.07364626896591,9.08418997523223,9.10565603952338
2013,6,9.23107197940138,9.07040573649998,9.07801020629165
2013,7,9.33048062720624,9.13817600811155,9.28672051527415
2013,8,9.43765282134659,9.23016018328773,9.29831509657599
2013,9,9.36197846933872,9.34024421020018,9.39532898831073
2013,10,9.51833156108381,9.37286702206043,9.48576378472354
2013,11,9.99067895498687,9.46607824344631,10.1758793188768
2013,12,10.7157655267851,9.74937971990926,10.7195343550229
2014,1,8.93787920491441,10.2741481077645,8.95344373824876
2014,2,9.19519526158966,9.74842812811251,9.20340878788322
2014,3,9.58592342560243,9.52327914753095,9.72810391369433
2014,4,9.35766753878483,9.56252472230957,9.4138111730656
2014,5,9.14126463991353,9.47694408360582,9.4027348104777
2014,6,9.4789993981795,9.31707595359532,9.38402275511854
2014,7,9.72512494873588,9.37708604536674,9.50741810104839
2014,8,9.89790248504199,9.5354995633652,9.64452982897295
2014,9,10.083029416227,9.72037392914196,9.69183611126208
2014,10,10.1421638438248,9.92574603579181,9.99475506551984
2014,11,10.4919628691521,10.0813433719146,10.6102133037554
2014,12,11.298762839144,10.3422879598,11.2833020039246
2015,1,9.2343732547976,10.8882241382055,9.5185456893627
2015,2,9.32962272753498,10.2354926682133,9.6615861810219
2015,3,9.99089568414157,9.84865615240201,9.97730226380775
2015,4,9.76177017454231,9.91377384557664,9.7756627880147
2015,5,9.68020586668178,9.84570985432601,9.66689696044711
2015,6,9.8309991143828,9.76262175026168,9.96169570219325
2015,7,10.1718013908294,9.7824453557791,10.0606265488691
2015,8,10.2606905570263,9.96012064892899,10.1736990912243
2015,9,10.3256593239152,10.1170879697982,10.2295167052095
2015,10,10.3359622617392,10.2468138693607,10.2737305339145
2015,11,10.7500933163369,10.330967252972,10.7049808364857
2015,12,11.5584786815873,10.5784579641241,11.5205982928369
2016,1,NA,11.1186344719848,9.59706216628221
2016,2,NA,11.2436952979784,9.83078120998441
2016,3,NA,11.3687561239721,10.4775415506997
2016,4,NA,11.4938169499657,10.2548668466653
2016,5,NA,11.6188777759593,10.1671003702606
2016,6,NA,11.743938601953,10.3756319020737
2016,7,NA,11.8689994279466,10.6642479719126
2016,8,NA,11.9940602539403,10.7177956530666
2016,9,NA,12.1191210799339,10.7427818245427
2016,10,NA,12.2441819059275,10.728229735439
2016,11,NA,12.3692427319212,11.1241510386265
2016,12,NA,12.4943035579148,11.9170620849176
2017,1,NA,NA,9.95662041535462
2017,2,NA,NA,10.1903394590568
2017,3,NA,NA,10.8370997997721
2017,4,NA,NA,10.6144250957377
2017,5,NA,NA,10.526658619333
2017,6,NA,NA,10.7351901511461
2017,7,NA,NA,11.023806220985
2017,8,NA,NA,11.077353902139
2017,9,NA,NA,11.1023400736151
2017,10,NA,NA,11.0877879845114
2017,11,NA,NA,11.4837092876989
2017,12,NA,NA,12.27662033399
2018,1,NA,NA,10.316178664427
2018,2,NA,NA,10.5498977081292
2018,3,NA,NA,11.1966580488445
2018,4,NA,NA,10.9739833448101
2018,5,NA,NA,10.8862168684054
2018,6,NA,NA,11.0947484002186
2018,7,NA,NA,11.3833644700574
2018,8,NA,NA,11.4369121512114
2018,9,NA,NA,11.4618983226875
2018,10,NA,NA,11.4473462335838
2018,11,NA,NA,11.8432675367713
2018,12,NA,NA,12.6361785830624
2019,1,NA,NA,10.6757369134994
2019,2,NA,NA,10.9094559572016
2019,3,NA,NA,11.5562162979169
2019,4,NA,NA,11.3335415938825
2019,5,NA,NA,11.2457751174778
2019,6,NA,NA,11.454306649291
2019,7,NA,NA,11.7429227191298
2019,8,NA,NA,11.7964704002838
2019,9,NA,NA,11.8214565717599
2019,10,NA,NA,11.8069044826562
2019,11,NA,NA,12.2028257858437
2019,12,NA,NA,12.9957368321348
